Runtime,Architecture,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB),WASM_Runtime
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754403055,1754403057,1754403101,2.037,32.72,4.064,43.883,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754403102,1754403104,1754403150,2.215,31.166,4.203,46.028,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754403151,1754403153,1754403196,2.083,27.268,4.136,42.774,1.64,wasmer
docker,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754403197,1754403199,1754403239,2.183,28.458,4.094,39.45,1.64,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754403240,1754403243,1754403294,2.693,45.628,4.145,51.056,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754403296,1754403298,1754403338,2.699,30.208,4.09,39.319,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754403341,1754403344,1754403380,3.367,30.538,4.129,35.378,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754403382,1754403383,1754403427,1.032,30.656,4.048,44.162,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754403428,1754403431,1754403468,2.582,33.068,4.171,37.343,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754403470,1754403472,1754403516,2.58,23.996,4.074,43.78,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754403518,1754403520,1754403563,2.583,28.371,4.133,43.053,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754403565,1754403566,1754403607,1.132,36.672,4.087,40.973,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754403608,1754403610,1754403657,1.134,27.463,4.093,47.631,0.0,wasmer
containerd,RISCV64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754403659,1754403662,1754403693,2.984,22.407,4.078,31.071,0.0,wasmer
